229X1A2915,Jyoti,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2916,Karan,EE,B,FALSE,mfazii4563@gmail.com
229X1A2917,Lina,EE,B,FALSE,mohamedfazil2584@gmail.com
229X1A2918,Mafalsej,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2920,Neha,EE,B,FALSE,mfazii4563@gmail.com
229X1A2922,Om,EE,A,FALSE,mohamedfazil2584@gmail.com
239X5A02C3,santa,EE,B,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C5,puwin,EE,B,FALSE,mfazii4563@gmail.com
239X5A02D0,dunk,EE,A,FALSE,mohamedfazil2584@gmail.com
239X5A02D6,archen,EE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2901,Aditi,CE,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,CE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,CE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,CE,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,CE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,CE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,CE,B,FALSE,mfazii4563@gmail.com
229X1A2910,Hari,CE,B,FALSE,mohamedfazil2584@gmail.com
229X1A2912,Isha,CE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2915,Jyoti,CE,B,FALSE,mfazii4563@gmail.com
229X1A2916,Karan,CE,B,FALSE,mohamedfazil2584@gmail.com
229X1A2917,Lina,CE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2918,Mafalsej,CE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2920,Neha,CE,B,FALSE,mfazii4563@gmail.com
229X1A2922,Om,CE,A,FALSE,mohamedfazil2584@gmail.com
239X5A02C3,santa,CE,B,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C5,puwin,CE,B,FALSE,mfazii4563@gmail.com
239X5A02D0,dunk,CE,A,FALSE,mohamedfazil2584@gmail.com
239X5A02D6,archen,CE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2901,Aditi,IT,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,IT,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,IT,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,IT,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,IT,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,IT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,IT,B,FALSE,mfazii4563@gmail.com
229X1A2910,Hari,IT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2912,Isha,IT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2915,Jyoti,IT,B,FALSE,mfazii4563@gmail.com
229X1A2916,Karan,IT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2917,Lina,IT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2918,Mafalsej,IT,B,FALSE,mfazii4563@gmail.com
229X1A2920,Neha,IT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2922,Om,IT,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C3,santa,IT,B,FALSE,mfazii4563@gmail.com
239X5A02C5,puwin,IT,B,FALSE,mohamedfazil2584@gmail.com
239X5A02D0,dunk,IT,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02D6,archen,IT,A,FALSE,mfazii4563@gmail.com
229X1A2901,Aditi,AI,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,AI,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,AI,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,AI,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,AI,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,AI,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,AI,B,FALSE,mfazii4563@gmail.com
229X1A2910,Hari,AI,B,FALSE,mohamedfazil2584@gmail.com
229X1A2912,Isha,AI,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2915,Jyoti,AI,B,FALSE,mfazii4563@gmail.com
229X1A2916,Karan,AI,B,FALSE,mohamedfazil2584@gmail.com
229X1A2917,Lina,AI,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2918,Mafalsej,AI,B,FALSE,mfazii4563@gmail.com
229X1A2920,Neha,AI,B,FALSE,mohamedfazil2584@gmail.com
229X1A2922,Om,AI,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C3,santa,AI,B,FALSE,mfazii4563@gmail.com
239X5A02C5,puwin,AI,B,FALSE,mohamedfazil2584@gmail.com
239X5A02D0,dunk,AI,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02D6,archen,AI,A,FALSE,mfazii4563@gmail.com
229X1A2901,Aditi,BT,A,FALSE,mohamedfazil2584@gmail.com
229X1A2902,Bharat,BT,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2905,Charan,BT,A,FALSE,mfazii4563@gmail.com
229X1A2906,Deepa,BT,A,FALSE,mohamedfazil2584@gmail.com
229X1A2907,Eshan,BT,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2908,Farah,BT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,BT,B,FALSE,mfazii4563@gmail.com
229X1A2910,Hari,BT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2912,Isha,BT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2915,Jyoti,BT,B,FALSE,mfazii4563@gmail.com
229X1A2916,Karan,BT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2917,Lina,BT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2918,Mafalsej,BT,B,FALSE,mfazii4563@gmail.com
229X1A2920,Neha,BT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2922,Om,BT,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C3,santa,BT,B,FALSE,mfazii4563@gmail.com
239X5A02C5,puwin,BT,B,FALSE,mohamedfazil2584@gmail.com
239X5A02D0,dunk,BT,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02D6,archen,BT,A,FALSE,mfazii4563@gmail.com
roll_number,Name,Branch,Section,detained_status,email
229X1A2901,Aditi,CS,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2902,Bharat,CS,A,FALSE,mfazii4563@gmail.com
229X1A2905,Charan,CS,A,FALSE,mohamedfazil2584@gmail.com
229X1A2906,Deepa,CS,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2907,Eshan,CS,A,FALSE,mfazii4563@gmail.com
229X1A2908,Farah,CS,B,FALSE,mohamedfazil2584@gmail.com
229X1A2909,Guru,CS,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2910,Hari,CS,B,FALSE,mfazii4563@gmail.com
229X1A2912,Isha,CS,B,FALSE,mohamedfazil2584@gmail.com
229X1A2915,Jyoti,CS,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2916,Karan,ME,B,FALSE,mfazii4563@gmail.com
229X1A2917,Lina,ME,B,FALSE,mohamedfazil2584@gmail.com
229X1A2918,Mafalsej,ME,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2920,Neha,ME,B,FALSE,mfazii4563@gmail.com
229X1A2922,Om,ME,A,FALSE,mohamedfazil2584@gmail.com
239X5A02C3,santa,EC,B,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C5,puwin,EC,B,FALSE,mfazii4563@gmail.com
239X5A02D0,dunk,EC,A,FALSE,mohamedfazil2584@gmail.com
239X5A02D6,archen,EC,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2901,Aditi,EE,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,EE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,EE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,EE,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,EE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2910,Hari,EE,B,FALSE,mfazii4563@gmail.com
229X1A2912,Isha,EE,B,FALSE,mohamedfazil2584@gmail.com
229X1A2915,Jyoti,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2916,Karan,EE,B,FALSE,mfazii4563@gmail.com
229X1A2917,Lina,EE,B,FALSE,mohamedfazil2584@gmail.com
229X1A2918,Mafalsej,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2920,Neha,EE,B,FALSE,mfazii4563@gmail.com
229X1A2922,Om,EE,A,FALSE,mohamedfazil2584@gmail.com
239X5A02C3,santa,EE,B,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C5,puwin,EE,B,FALSE,mfazii4563@gmail.com
239X5A02D0,dunk,EE,A,FALSE,mohamedfazil2584@gmail.com
239X5A02D6,archen,EE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2901,Aditi,CE,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,CE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,CE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,CE,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,CE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,CE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,CE,B,FALSE,mfazii4563@gmail.com
229X1A2910,Hari,CE,B,FALSE,mohamedfazil2584@gmail.com
229X1A2912,Isha,CE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2915,Jyoti,CE,B,FALSE,mfazii4563@gmail.com
229X1A2916,Karan,CE,B,FALSE,mohamedfazil2584@gmail.com
229X1A2917,Lina,CE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2918,Mafalsej,CE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2920,Neha,CE,B,FALSE,mfazii4563@gmail.com
229X1A2922,Om,CE,A,FALSE,mohamedfazil2584@gmail.com
239X5A02C3,santa,CE,B,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C5,puwin,CE,B,FALSE,mfazii4563@gmail.com
239X5A02D0,dunk,CE,A,FALSE,mohamedfazil2584@gmail.com
239X5A02D6,archen,CE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2901,Aditi,IT,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,IT,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,IT,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,IT,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,IT,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,IT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,IT,B,FALSE,mfazii4563@gmail.com
229X1A2910,Hari,IT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2912,Isha,IT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2915,Jyoti,IT,B,FALSE,mfazii4563@gmail.com
229X1A2916,Karan,IT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2917,Lina,IT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2918,Mafalsej,IT,B,FALSE,mfazii4563@gmail.com
229X1A2920,Neha,IT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2922,Om,IT,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C3,santa,IT,B,FALSE,mfazii4563@gmail.com
239X5A02C5,puwin,IT,B,FALSE,mohamedfazil2584@gmail.com
239X5A02D0,dunk,IT,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02D6,archen,IT,A,FALSE,mfazii4563@gmail.com
229X1A2901,Aditi,AI,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,AI,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,AI,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,AI,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,AI,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,AI,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,AI,B,FALSE,mfazii4563@gmail.com
229X1A2910,Hari,AI,B,FALSE,mohamedfazil2584@gmail.com
229X1A2912,Isha,AI,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2915,Jyoti,AI,B,FALSE,mfazii4563@gmail.com
229X1A2916,Karan,AI,B,FALSE,mohamedfazil2584@gmail.com
229X1A2917,Lina,AI,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2918,Mafalsej,AI,B,FALSE,mfazii4563@gmail.com
229X1A2920,Neha,AI,B,FALSE,mohamedfazil2584@gmail.com
229X1A2922,Om,AI,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C3,santa,AI,B,FALSE,mfazii4563@gmail.com
239X5A02C5,puwin,AI,B,FALSE,mohamedfazil2584@gmail.com
239X5A02D0,dunk,AI,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02D6,archen,AI,A,FALSE,mfazii4563@gmail.com
229X1A2901,Aditi,BT,A,FALSE,mohamedfazil2584@gmail.com
229X1A2902,Bharat,BT,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2905,Charan,BT,A,FALSE,mfazii4563@gmail.com
229X1A2906,Deepa,BT,A,FALSE,mohamedfazil2584@gmail.com
229X1A2907,Eshan,BT,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2908,Farah,BT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,BT,B,FALSE,mfazii4563@gmail.com
229X1A2910,Hari,BT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2912,Isha,BT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2915,Jyoti,BT,B,FALSE,mfazii4563@gmail.com
229X1A2916,Karan,BT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2917,Lina,BT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2918,Mafalsej,BT,B,FALSE,mfazii4563@gmail.com
229X1A2920,Neha,BT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2922,Om,BT,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C3,santa,BT,B,FALSE,mfazii4563@gmail.com
239X5A02C5,puwin,BT,B,FALSE,mohamedfazil2584@gmail.com
239X5A02D0,dunk,BT,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02D6,archen,BT,A,FALSE,mfazii4563@gmail.com
roll_number,Name,Branch,Section,detained_status,email
229X1A2901,Aditi,CS,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2902,Bharat,CS,A,FALSE,mfazii4563@gmail.com
229X1A2905,Charan,CS,A,FALSE,mohamedfazil2584@gmail.com
229X1A2906,Deepa,CS,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2907,Eshan,CS,A,FALSE,mfazii4563@gmail.com
229X1A2908,Farah,CS,B,FALSE,mohamedfazil2584@gmail.com
229X1A2909,Guru,CS,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2910,Hari,CS,B,FALSE,mfazii4563@gmail.com
229X1A2912,Isha,CS,B,FALSE,mohamedfazil2584@gmail.com
229X1A2915,Jyoti,CS,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2916,Karan,ME,B,FALSE,mfazii4563@gmail.com
229X1A2917,Lina,ME,B,FALSE,mohamedfazil2584@gmail.com
229X1A2918,Mafalsej,ME,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2920,Neha,ME,B,FALSE,mfazii4563@gmail.com
229X1A2922,Om,ME,A,FALSE,mohamedfazil2584@gmail.com
239X5A02C3,santa,EC,B,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C5,puwin,EC,B,FALSE,mfazii4563@gmail.com
239X5A02D0,dunk,EC,A,FALSE,mohamedfazil2584@gmail.com
239X5A02D6,archen,EC,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2901,Aditi,EE,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,EE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,EE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,EE,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,EE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2910,Hari,EE,B,FALSE,mfazii4563@gmail.com
229X1A2912,Isha,EE,B,FALSE,mohamedfazil2584@gmail.com
229X1A2915,Jyoti,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2916,Karan,EE,B,FALSE,mfazii4563@gmail.com
229X1A2917,Lina,EE,B,FALSE,mohamedfazil2584@gmail.com
229X1A2918,Mafalsej,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2920,Neha,EE,B,FALSE,mfazii4563@gmail.com
229X1A2922,Om,EE,A,FALSE,mohamedfazil2584@gmail.com
239X5A02C3,santa,EE,B,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C5,puwin,EE,B,FALSE,mfazii4563@gmail.com
239X5A02D0,dunk,EE,A,FALSE,mohamedfazil2584@gmail.com
239X5A02D6,archen,EE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2901,Aditi,CE,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,CE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,CE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,CE,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,CE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,CE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,CE,B,FALSE,mfazii4563@gmail.com
229X1A2910,Hari,CE,B,FALSE,mohamedfazil2584@gmail.com
229X1A2912,Isha,CE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2915,Jyoti,CE,B,FALSE,mfazii4563@gmail.com
229X1A2916,Karan,CE,B,FALSE,mohamedfazil2584@gmail.com
229X1A2917,Lina,CE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2918,Mafalsej,CE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2920,Neha,CE,B,FALSE,mfazii4563@gmail.com
229X1A2922,Om,CE,A,FALSE,mohamedfazil2584@gmail.com
239X5A02C3,santa,CE,B,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C5,puwin,CE,B,FALSE,mfazii4563@gmail.com
239X5A02D0,dunk,CE,A,FALSE,mohamedfazil2584@gmail.com
239X5A02D6,archen,CE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2901,Aditi,IT,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,IT,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,IT,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,IT,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,IT,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,IT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,IT,B,FALSE,mfazii4563@gmail.com
229X1A2910,Hari,IT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2912,Isha,IT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2915,Jyoti,IT,B,FALSE,mfazii4563@gmail.com
229X1A2916,Karan,IT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2917,Lina,IT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2918,Mafalsej,IT,B,FALSE,mfazii4563@gmail.com
229X1A2920,Neha,IT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2922,Om,IT,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C3,santa,IT,B,FALSE,mfazii4563@gmail.com
239X5A02C5,puwin,IT,B,FALSE,mohamedfazil2584@gmail.com
239X5A02D0,dunk,IT,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02D6,archen,IT,A,FALSE,mfazii4563@gmail.com
229X1A2901,Aditi,AI,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,AI,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,AI,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,AI,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,AI,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,AI,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,AI,B,FALSE,mfazii4563@gmail.com
229X1A2910,Hari,AI,B,FALSE,mohamedfazil2584@gmail.com
229X1A2912,Isha,AI,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2915,Jyoti,AI,B,FALSE,mfazii4563@gmail.com
229X1A2916,Karan,AI,B,FALSE,mohamedfazil2584@gmail.com
229X1A2917,Lina,AI,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2918,Mafalsej,AI,B,FALSE,mfazii4563@gmail.com
229X1A2920,Neha,AI,B,FALSE,mohamedfazil2584@gmail.com
229X1A2922,Om,AI,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C3,santa,AI,B,FALSE,mfazii4563@gmail.com
239X5A02C5,puwin,AI,B,FALSE,mohamedfazil2584@gmail.com
239X5A02D0,dunk,AI,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02D6,archen,AI,A,FALSE,mfazii4563@gmail.com
229X1A2901,Aditi,BT,A,FALSE,mohamedfazil2584@gmail.com
229X1A2902,Bharat,BT,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2905,Charan,BT,A,FALSE,mfazii4563@gmail.com
229X1A2906,Deepa,BT,A,FALSE,mohamedfazil2584@gmail.com
229X1A2907,Eshan,BT,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2908,Farah,BT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,BT,B,FALSE,mfazii4563@gmail.com
229X1A2910,Hari,BT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2912,Isha,BT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2915,Jyoti,BT,B,FALSE,mfazii4563@gmail.com
229X1A2916,Karan,BT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2917,Lina,BT,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2918,Mafalsej,BT,B,FALSE,mfazii4563@gmail.com
229X1A2920,Neha,BT,B,FALSE,mohamedfazil2584@gmail.com
229X1A2922,Om,BT,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C3,santa,BT,B,FALSE,mfazii4563@gmail.com
239X5A02C5,puwin,BT,B,FALSE,mohamedfazil2584@gmail.com
239X5A02D0,dunk,BT,A,FALSE,mudinjakandupidi040101@gmail.com
239X5A02D6,archen,BT,A,FALSE,mfazii4563@gmail.com
roll_number,Name,Branch,Section,detained_status,email
229X1A2901,Aditi,CS,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2902,Bharat,CS,A,FALSE,mfazii4563@gmail.com
229X1A2905,Charan,CS,A,FALSE,mohamedfazil2584@gmail.com
229X1A2906,Deepa,CS,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2907,Eshan,CS,A,FALSE,mfazii4563@gmail.com
229X1A2908,Farah,CS,B,FALSE,mohamedfazil2584@gmail.com
229X1A2909,Guru,CS,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2910,Hari,CS,B,FALSE,mfazii4563@gmail.com
229X1A2912,Isha,CS,B,FALSE,mohamedfazil2584@gmail.com
229X1A2915,Jyoti,CS,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2916,Karan,ME,B,FALSE,mfazii4563@gmail.com
229X1A2917,Lina,ME,B,FALSE,mohamedfazil2584@gmail.com
229X1A2918,Mafalsej,ME,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2920,Neha,ME,B,FALSE,mfazii4563@gmail.com
229X1A2922,Om,ME,A,FALSE,mohamedfazil2584@gmail.com
239X5A02C3,santa,EC,B,FALSE,mudinjakandupidi040101@gmail.com
239X5A02C5,puwin,EC,B,FALSE,mfazii4563@gmail.com
239X5A02D0,dunk,EC,A,FALSE,mohamedfazil2584@gmail.com
239X5A02D6,archen,EC,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2901,Aditi,EE,A,FALSE,mfazii4563@gmail.com
229X1A2902,Bharat,EE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2905,Charan,EE,A,FALSE,mudinjakandupidi040101@gmail.com
229X1A2906,Deepa,EE,A,FALSE,mfazii4563@gmail.com
229X1A2907,Eshan,EE,A,FALSE,mohamedfazil2584@gmail.com
229X1A2908,Farah,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2909,Guru,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2910,Hari,EE,B,FALSE,mfazii4563@gmail.com
229X1A2912,Isha,EE,B,FALSE,mohamedfazil2584@gmail.com
229X1A2915,Jyoti,EE,B,FALSE,mudinjakandupidi040101@gmail.com
229X1A2916,Karan,EE,B,FALSE,mfazii4563@gmail.com
229X1A2917,Lina,EE,B,FALSE,mohamedfazil2584@gmail.com
